t,u1,u2
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,6.065310000000000423e-01,3.728830000000000200e-01
2.000000000000000111e-01,3.678790000000000115e-01,5.635639999999999539e-01
2.999999999999999889e-01,2.231299999999999950e-01,6.471099999999999630e-01
4.000000000000000222e-01,1.353350000000000108e-01,6.687309999999999643e-01
5.000000000000000000e-01,8.208500000000000518e-02,6.555569999999999453e-01
5.999999999999999778e-01,4.978699999999999792e-02,6.237810000000000299e-01
6.999999999999999556e-01,3.019700000000000162e-02,5.829849999999999755e-01
8.000000000000000444e-01,1.831599999999999895e-02,5.387669999999999959e-01
9.000000000000000222e-01,1.110900000000000082e-02,4.943259999999999876e-01
1.000000000000000000e+00,6.738000000000000066e-03,4.514270000000000227e-01
